iare_code,Indigenous Area name,Indigenous low-income family rate,Non-indigenous low-income family rate,Indigenous unemployment rate,Non-indigenous unemployment rate,Indigenous Primary-school dropout ASR_per_100,Non-indigenous Primary-school dropout ASR_per_100,Indigenous middle_school_participation rate,Non-indigenous middle_school_participation rate,Indigenous internet access rate,Non-indigenous internet access rate,Indigenous social engagement rate,Non-indigenous social engagement rate
IARE202001,Ballarat,15.081967213114755,6.39963690003404,17.159763313609467,6.927190125839264,51.48273073225391,31.91424583933801,75.75757575757575,86.26964433416046,75.54417413572342,80.41791791791792,69.6319018404908,87.93653147475347
IARE202002,Baw Baw,14.418604651162791,7.1467370218049195,21.022727272727273,5.434782608695652,56.12280919283804,35.009736895901945,62.5,86.02329450915141,73.68421052631578,80.83323899015056,75.82417582417582,89.10910140465653
IARE202003,Bendigo,14.89071038251366,6.050898095820885,16.257668711656443,6.269617074701821,57.84624499261837,34.76132868528441,72.72727272727273,86.8088467614534,76.71381936887923,80.24046906311077,72.3514211886305,88.13229571984435
IARE201001,Brimbank,10.674157303370785,10.826346355870053,13.37792642140468,10.359467874327768,49.79216187001817,32.81059323262925,30.76923076923077,88.41463414634147,77.0935960591133,79.05341314231511,78.52348993288591,88.0090058615737
IARE202004,Campaspe - Shepparton - Moira,14.87101669195751,7.5736281582810205,17.52021563342318,5.453900709219858,54.449921367499364,37.81485284049024,66.29213483146067,87.29662077596996,69.37046004842615,75.84160150688832,68.24427480916032,87.20618863433502
IARE201002,Cardinia,6.122448979591836,5.377514411254888,10.596026490066226,5.421840449055962,47.77239225202864,35.510511361251744,100,86.09625668449198,85.78947368421052,86.70623919637325,78.03030303030303,89.58040730337079
IARE202005,Castlemaine - Kerang,17.01492537313433,9.07309905718134,14.285714285714285,5.472636815920398,46.643648109701594,32.84824879564161,68.42105263157895,88.88888888888889,68.89400921658986,73.0766232753917,68.96551724137932,85.59066967644846
IARE201003,Craigieburn - Sunbury,10.273972602739725,7.048061565267896,11.961722488038278,7.543076342598415,53.38088265246714,32.631984546951664,87.5,88.88888888888889,84.63157894736842,88.25381386300809,77.06422018348624,88.09693124008533
IARE201004,Cranbourne - Narre Warren,11.707988980716253,6.280309762599974,13.178294573643411,7.134116495349975,53.39757932932504,32.015365766745475,80,89.23878006446813,82.96296296296296,87.55187630717344,77.9874213836478,89.0821820398212
IARE201005,Frankston,10.650887573964498,5.696437079781884,11.166253101736972,5.855039167381737,43.18230419002266,27.490701023560327,92.3076923076923,90.78278549644189,82.09393346379647,84.47057250377276,78.43137254901961,90.82437503975575
