iare_code,Indigenous Area name,income inequality,unemployment inequality,Primary-school dropout inequality,middle-school participation equality,internet access equality,social engagement equality
IARE202001,Ballarat,0.1962737797497895,0.16220144253840443,0.15716843464907862,0.14215000989527998,0.15775451905203935,0.14739911931521574
IARE202002,Baw Baw,0.16802544712734527,0.253283795679634,0.15618484595657747,0.11760960172745236,0.15307987864116918,0.15839504708214266
IARE202003,Bendigo,0.2049534368820493,0.16979221723101195,0.1621314040693399,0.135616380163228,0.16055129121850828,0.1528156898880185
IARE201001,Brimbank,0.08211288464468829,0.08455745080974056,0.14785473574763966,0.05633409448629849,0.16376886321936562,0.16608424674438294
IARE202004,Campaspe - Shepparton - Moira,0.16352957566840573,0.21034526802227144,0.1402888585371766,0.12292590247430328,0.1536033669097592,0.14567159660937523
IARE201002,Cardinia,0.09482071357405014,0.12796665821013375,0.13107154014051536,0.18801589376560168,0.16615649019558343,0.1621459941597234
IARE202005,Castlemaine - Kerang,0.15618309463980345,0.1709251063676563,0.13834664388499615,0.12460087921695182,0.15832031431666835,0.1499897345345735
IARE201003,Craigieburn - Sunbury,0.1214026989412504,0.10383547309310982,0.15937881858454991,0.159345355152448,0.16103957545076944,0.16283507956797724
IARE201004,Cranbourne - Narre Warren,0.155260459678321,0.12095380661351866,0.16249928000038877,0.14511596540170743,0.15913014270351203,0.16296325009762125
IARE201005,Frankston,0.1557191854431352,0.12487577299795322,0.15304119108491526,0.16459370551590072,0.16320718842679743,0.16074717901761262
IARE202006,Geelong - Queenscliff,0.18652588981579954,0.1324556968303745,0.15300844234310756,0.15172450467838278,0.16562698237889367,0.16119815152133835
IARE202007,Gippsland,0.14232931350774375,0.190542487662583,0.1496743507092891,0.13487470546555677,0.14196743840652834,0.15051745924913926
IARE201006,Greater Dandenong,0.1263082546314872,0.13584915594359898,0.1365479101432625,0.18100825146358862,0.14786604968352055,0.13963388560835574
IARE201007,Knox,0.1486520787325204,0.10956059349510205,0.18673485921107044,0.13103169668859938,0.16192280766531444,0.17342575942355748
IARE202008,Latrobe,0.16153446714273248,0.1851345808672818,0.15957628642416313,0.17889911359373456,0.1624112827369408,0.13624009769073572
IARE202009,Macedon Ranges - Moorabool,0.20181885052591886,0.14160278938732768,0.16660168250172347,0.1802204397745359,0.15793894088696495,0.15864803897564475
IARE201008,Maribyrnong - Moonee Valley,0.14966622982900113,0.12287509518744878,0.15777212895809836,0.1151108597362305,0.16534362576053105,0.16612101174045282
IARE201009,Maroondah,0.13263586578137584,0.0951476765361327,0.16937660730611417,0.13634661720964233,0.1545406561237673,0.16262687954183816
IARE201010,Melbourne - East,0.12316184803166652,0.0976856291333633,0.19706001550024377,0.19372352608823856,0.16289120685048075,0.16917192347332297
IARE201011,Melbourne - North-East,0.19701611173403488,0.10232449868518022,0.18398275063138023,0.12704957588070623,0.15752871490536588,0.1748771489158317
IARE201012,Melbourne - Port Phillip,0.1210363845067713,0.09458921644023675,0.2556479064972173,0.1891974371560358,0.1493550306296649,0.1742647229722931
IARE201013,Melton,0.14980959170963554,0.12343137700335051,0.1577935254765446,0.20148202001387774,0.16543596439872296,0.1538479581982433
IARE202010,Mildura,0.19302558661269728,0.2214204656094185,0.1632984267068324,0.12214126454421667,0.15330868827537822,0.1342563926802745
IARE201014,Monash,0.1239998658585243,0.09363139124767887,0.18060887483588975,0.13829461778337374,0.1623093983393936,0.162451195412854
IARE201015,Moreland - Broadmeadows,0.12618039222344368,0.11087438223102894,0.13638322678281573,0.14143901745045573,0.17052009901681556,0.150122389704412
IARE201016,Mornington Peninsula,0.1633469188772572,0.1387782190480681,0.1518520813104009,0.16969426508939522,0.163026286845444,0.16851689873094236
IARE201017,Northcote - Preston - Whittlesea,0.1375913721561577,0.1149210588699577,0.16696693610210145,0.15452127628312126,0.1626632169547582,0.16166513585749703
IARE202011,South Gippsland - Bass Coast,0.14795195441533068,0.17593417365051728,0.12742578109051927,0.18686785942929932,0.1723259921528996,0.1682972573287723
IARE202013,Southern Grampians - Glenelg,0.1523013027973365,0.21639213604538718,0.14144429249912555,0.13765085188537937,0.15715472709341372,0.15950336954904257
IARE202012,South-West Central Victoria,0.13306846977852263,0.1694337108407749,0.1365176306286285,0.16295394572650415,0.16297037190060992,0.16556093483707798
IARE202014,Swan Hill,0.17083847585877765,0.22273942572038893,0.1378631136823474,0.23619725738748748,0.15179031773335347,0.16108807810014586
IARE202015,Upper Goulburn Valley,0.11859025155712127,0.12687939299185574,0.14191365914437643,0.18899070404028964,0.1615930756334182,0.15171374128851112
IARE202016,Wallan - Seymour,0.14283895734342134,0.1606216297110254,0.1363269921248067,0.18765086410026433,0.16537605065457261,0.17964264466741284
IARE202017,Warrnambool,0.27983836506068355,0.28125416665405334,0.1717509206791759,0.18655065969067086,0.1680604255482422,0.16290324973580256
IARE201018,Whitehorse,0.2149896674277173,0.09215461636760054,0.19107503605580872,0.17038483485495953,0.1614041957984558,0.1635153660644685
IARE202018,Wimmera,0.18039106640661806,0.2567945587775777,0.15534436420164466,0.20916060955096322,0.1567001323125048,0.15724697545415223
IARE202019,Wodonga,0.1874615040417602,0.20913432179599428,0.15464592255918402,0.14416814127239042,0.15926919739178025,0.16664877920441382
IARE201019,Wyndham - Altona,0.11096754736745172,0.12547875514512002,0.15488123982067317,0.15513220582443615,0.16302019022448697,0.16045524176289253
IARE201020,Yarra Ranges,0.15855877583661215,0.14887246803038742,0.15159543588068825,0.14506791570551272,0.15960767825810931,0.16935787696121207
